model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-12b-deduped,Deduped,12.0,stackexchange,0,0.6015762749820648
EleutherAI/pythia-12b-deduped,Deduped,12.0,wikipedia,0,1.709938569953966e-07
EleutherAI/pythia-12b-deduped,Deduped,12.0,cc,0,0.005506614182494664
EleutherAI/pythia-12b-deduped,Deduped,12.0,github,0,0.003182300904635586
EleutherAI/pythia-12b-deduped,Deduped,12.0,openwebtext2,0,0.1433644228849537
EleutherAI/pythia-12b-deduped,Deduped,12.0,freelaw,0,0.00881734654784855
EleutherAI/pythia-12b-deduped,Deduped,12.0,math,0,0.012084659379528505
EleutherAI/pythia-12b-deduped,Deduped,12.0,uspto,0,0.0011467910120139507
EleutherAI/pythia-12b-deduped,Deduped,12.0,hackernews,0,4.5149756487474123e-10
EleutherAI/pythia-12b-deduped,Deduped,12.0,books3,0,1.1362146040901792e-06
EleutherAI/pythia-12b-deduped,Deduped,12.0,gutenberg,0,3.1238312959568006e-06
EleutherAI/pythia-12b-deduped,Deduped,12.0,arxiv,0,0.7386722210111665
EleutherAI/pythia-12b-deduped,Deduped,12.0,bookcorpus2,0,1.661021242423741e-13
EleutherAI/pythia-12b-deduped,Deduped,12.0,opensubtitles,0,0.14373401663176086
EleutherAI/pythia-12b-deduped,Deduped,12.0,youtubesubtitles,0,2.2864025378492502e-11
EleutherAI/pythia-12b-deduped,Deduped,12.0,ubuntu,0,9.747258755225667e-68
EleutherAI/pythia-12b-deduped,Deduped,12.0,europarl,0,5.752167063963183e-10
EleutherAI/pythia-12b-deduped,Deduped,12.0,philpapers,0,3.445553982591154e-32
