seed,heldout_member_count,heldout_nonmember_count,member_mean_score,nonmember_mean_score,mean_gap_nonmember_minus_member,t_statistic,p_value
11,30,30,-1.8296304941177368,-0.20359782874584198,1.6260327100753784,-1.3628575440788206,0.08910041259529848
12,30,30,0.020423363894224167,1.6683346033096313,1.6479111909866333,-2.353945419660715,0.011108844091604694
13,30,30,0.10770916938781738,0.15517891943454742,0.04746975004673004,-0.08289916215012134,0.4671126750135792
14,30,30,-1.0103455781936646,0.8609695434570312,1.8713151216506958,-2.9903146091569104,0.0022308957406135693
15,30,30,-0.46654972434043884,0.3605649769306183,0.8271147012710571,-1.4923225574081742,0.07073089286229779
16,30,30,-0.3234146535396576,0.33139774203300476,0.6548123955726624,-1.0469546374044938,0.15017238245322653
17,30,30,-1.299915075302124,0.7492576837539673,2.049172878265381,-4.072156579040299,9.041307104201159e-05
18,30,30,-0.2524150311946869,0.3149363398551941,0.5673513412475586,-1.0290313961146793,0.15390638587421537
19,30,30,-1.3709125518798828,-0.41167646646499634,0.9592360854148865,-1.5165234171745012,0.06814448828290197
20,30,30,-0.5732799172401428,-0.016608484089374542,0.5566714406013489,-1.1555112242052266,0.12644529652756292
