seed,heldout_member_count,heldout_nonmember_count,member_mean_score,nonmember_mean_score,mean_gap_nonmember_minus_member,t_statistic,p_value
11,50,50,-0.8053692579269409,0.13196569681167603,0.9373349547386169,-2.2226757048103845,0.014303036356365302
12,50,50,-0.5422142148017883,0.12269160896539688,0.664905846118927,-1.6529821721248519,0.05080329595125616
13,50,50,-0.44758355617523193,0.35586607456207275,0.8034496307373047,-1.886907507801167,0.03130606715072112
14,50,50,-0.17739702761173248,0.23860569298267365,0.41600272059440613,-0.8140440284511128,0.2088967370439861
15,50,50,-0.4421791136264801,-0.1501992642879486,0.2919798493385315,-1.1894859278163787,0.11857430742121414
16,50,50,-0.8561366200447083,-0.1594988852739334,0.696637749671936,-2.278262114168144,0.012481031227560412
17,50,50,-0.005905566271394491,0.6754239797592163,0.6813295483589172,-2.7296406769580366,0.003786542581492877
18,50,50,-0.09568264335393906,0.14960065484046936,0.245283305644989,-0.7270578542989098,0.234480633749864
19,50,50,-0.2714274823665619,0.34353965520858765,0.6149671077728271,-1.948458986507986,0.027111129957922874
20,50,50,-0.3049776554107666,0.08626444637775421,0.3912420868873596,-1.091299448686791,0.1389130866409547
