seed,feature,sample_auc_heldout,member_mean_a,nonmember_mean_a,weight
11,ppl,0.6056,-0.02744605464080961,0.02744605464080928,-1.2525867223739624
11,zlib_ratio,0.5572,-0.09076938562525533,0.09076938562525345,-0.21835842728614807
11,k_min_probs_0.05,0.68,-0.2539470744595859,0.25394707445958586,1.9479609727859497
11,k_max_probs_0.05,0.5228,-0.15014696939356553,0.15014696939356395,0.7051000595092773
11,k_min_probs_0.1,0.6612,-0.1608499664887706,0.16084996648877042,-0.8082730770111084
11,k_max_probs_0.1,0.4684,-0.08513736785550025,0.08513736785549836,-0.3049374520778656
11,k_min_probs_0.2,0.6428,-0.10984220806620079,0.10984220806620079,-0.40198415517807007
11,k_max_probs_0.2,0.4416,-0.030845099695793667,0.030845099695795547,-0.38619354367256165
11,ppl_ratio_synonym_substitution,0.608,-0.07111750072457523,0.07111750072457594,-0.2625405788421631
11,ppl_ratio_butter_fingers,0.6232,-0.11152138610062254,0.11152138610061968,1.3197730779647827
11,ppl_ratio_random_deletion,0.5936,-0.10551596314332151,0.10551596314331975,1.0302753448486328
11,ppl_ratio_change_char_case,0.6164,-0.08067364796508103,0.08067364796508006,-1.5784096717834473
11,ppl_ratio_whitespace_perturbation,0.6172,-0.11583341114771473,0.1158334111477164,1.9361696243286133
11,ppl_ratio_underscore_trick,0.6152,-0.04717631886411709,0.04717631886411377,-1.5071840286254883
11,ref_ppl_ratio_tinystories-1M,0.5992,-0.15768736466963523,0.15768736466963465,1.0705128908157349
11,ref_ppl_ratio_tinystories-33M,0.5768,-0.12582062361189758,0.12582062361189855,-0.3992879390716553
11,ref_ppl_ratio_phi-1_5,0.4544,-0.10261953048161136,0.10261953048161102,0.41230031847953796
12,ppl,0.5312,-0.1696778848619151,0.16967788486191485,0.30128225684165955
12,zlib_ratio,0.5072,-0.2025234009651,0.2025234009650984,-0.1290694624185562
12,k_min_probs_0.05,0.6404,-0.3100075057431213,0.3100075057431213,1.7900214195251465
12,k_max_probs_0.05,0.5956,-0.05783510794062302,0.05783510794062022,0.712984025478363
12,k_min_probs_0.1,0.6316,-0.2541211854753402,0.25412118547534013,-1.034904956817627
12,k_max_probs_0.1,0.456,-0.03178817880958803,0.031788178809585635,0.9184397459030151
12,k_min_probs_0.2,0.6112,-0.23497761891226016,0.23497761891225974,0.4872477352619171
12,k_max_probs_0.2,0.4856,-0.08695952659498263,0.08695952659498292,-0.5826857686042786
12,ppl_ratio_synonym_substitution,0.5468,-0.21875454322848106,0.21875454322848484,0.6856725215911865
12,ppl_ratio_butter_fingers,0.5724,-0.20858222397254844,0.20858222397254775,1.0222822427749634
12,ppl_ratio_random_deletion,0.5828,-0.13160267478217924,0.13160267478217805,-0.04403536021709442
12,ppl_ratio_change_char_case,0.5552,-0.1783070304088669,0.178307030408866,-1.1230705976486206
12,ppl_ratio_whitespace_perturbation,0.5612,-0.17290984935691645,0.1729098493569175,0.32889896631240845
12,ppl_ratio_underscore_trick,0.5656,-0.04937759156331942,0.04937759156331485,-1.0330528020858765
12,ref_ppl_ratio_tinystories-1M,0.5872,-0.21478982026308968,0.21478982026308963,0.6332553029060364
12,ref_ppl_ratio_tinystories-33M,0.5588,-0.17998215448238603,0.17998215448238597,0.31328296661376953
12,ref_ppl_ratio_phi-1_5,0.4516,-0.08632024907734222,0.08632024907734383,0.12927493453025818
13,ppl,0.534,-0.19008051460698056,0.19008051460698158,-1.2004085779190063
13,zlib_ratio,0.5688,-0.020011657293871766,0.02001165729387176,-1.178115963935852
13,k_min_probs_0.05,0.5732,-0.3633510491713997,0.36335104917139965,1.704832673072815
13,k_max_probs_0.05,0.563,-0.0242837571827328,0.024283757182727947,1.2420406341552734
13,k_min_probs_0.1,0.5544,-0.31205043170666386,0.3120504317066642,-0.17939145863056183
13,k_max_probs_0.1,0.4676,-0.07925016938306365,0.07925016938306598,1.6102861166000366
13,k_min_probs_0.2,0.5488,-0.2908805085780763,0.29088050857807635,-0.6128577589988708
13,k_max_probs_0.2,0.5024,-0.12886005680375343,0.128860056803755,0.32975178956985474
13,ppl_ratio_synonym_substitution,0.5636,-0.10920465313522491,0.1092046531352289,0.1948927640914917
13,ppl_ratio_butter_fingers,0.57,-0.18113288652806162,0.18113288652806436,1.3523811101913452
13,ppl_ratio_random_deletion,0.5244,-0.20244681515638482,0.20244681515638907,0.3522096872329712
13,ppl_ratio_change_char_case,0.5712,-0.17612550802566163,0.17612550802566357,-1.1429227590560913
13,ppl_ratio_whitespace_perturbation,0.5724,-0.20244164364631648,0.20244164364631467,0.15920129418373108
13,ppl_ratio_underscore_trick,0.488,-0.2735223118255206,0.27352231182551745,0.5016531944274902
13,ref_ppl_ratio_tinystories-1M,0.5256,-0.2430316778135787,0.24303167781357904,0.66214919090271
13,ref_ppl_ratio_tinystories-33M,0.484,-0.22655683331328663,0.22655683331328696,0.0884280800819397
13,ref_ppl_ratio_phi-1_5,0.466,-0.048646679748128335,0.04864667974812683,0.1297888457775116
14,ppl,0.5476,-0.1432081590782433,0.14320815907824289,-0.7233492732048035
14,zlib_ratio,0.5776,-0.22215597248112545,0.22215597248112856,-0.34254181385040283
14,k_min_probs_0.05,0.6348,-0.3190629372581515,0.31906293725815127,1.1723071336746216
14,k_max_probs_0.05,0.3768,-0.12762358029353688,0.127623580293538,0.21563908457756042
14,k_min_probs_0.1,0.63,-0.24467725154808154,0.24467725154808115,-0.16173546016216278
14,k_max_probs_0.1,0.4268,-0.17482010553184207,0.17482010553183655,0.9556437730789185
14,k_min_probs_0.2,0.6176,-0.20586380908435292,0.20586380908435298,0.06313353776931763
14,k_max_probs_0.2,0.47,-0.17217686374816688,0.17217686374815508,-0.3411635756492615
14,ppl_ratio_synonym_substitution,0.5244,-0.2805191185222047,0.2805191185222044,0.9439135789871216
14,ppl_ratio_butter_fingers,0.588,-0.24562974453815933,0.24562974453815767,1.3745602369308472
14,ppl_ratio_random_deletion,0.596,-0.0905485029133141,0.0905485029133171,-0.34374213218688965
14,ppl_ratio_change_char_case,0.5688,-0.19630642904536472,0.19630642904536402,-1.3139747381210327
14,ppl_ratio_whitespace_perturbation,0.566,-0.2136351452435631,0.21363514524356123,1.0569093227386475
14,ppl_ratio_underscore_trick,0.5752,-0.055267354980538974,0.05526735498053648,-0.7737227082252502
14,ref_ppl_ratio_tinystories-1M,0.598,-0.1912003371912754,0.19120033719127555,0.5302395820617676
14,ref_ppl_ratio_tinystories-33M,0.57,-0.16883357363507273,0.16883357363507298,0.36079344153404236
14,ref_ppl_ratio_phi-1_5,0.4984,-0.02240760274459511,0.022407602744595367,-0.4811789393424988
15,ppl,0.6188,-0.002860268709017083,0.0028602687090175396,0.7984859943389893
15,zlib_ratio,0.2832,-0.12959339330030117,0.12959339330030203,1.8196039199829102
15,k_min_probs_0.05,0.6956,-0.2551483220551485,0.2551483220551487,1.471408724784851
15,k_max_probs_0.05,0.4868,-0.2084747984023801,0.20847479840237984,0.2937132716178894
15,k_min_probs_0.1,0.6692,-0.17480523326676756,0.17480523326676725,-0.4277153015136719
15,k_max_probs_0.1,0.438,-0.15890166816499426,0.15890166816499307,0.1762702465057373
15,k_min_probs_0.2,0.6552,-0.08241800814427487,0.08241800814427493,-0.9267372488975525
15,k_max_probs_0.2,0.398,-0.11095638041802522,0.11095638041802562,0.5518133640289307
15,ppl_ratio_synonym_substitution,0.6052,-0.03410116153907929,0.03410116153907512,0.3812013566493988
15,ppl_ratio_butter_fingers,0.6548,-0.04906890841354795,0.04906890841354528,1.9727160930633545
15,ppl_ratio_random_deletion,0.3332,-0.04106391442635629,0.04106391442635592,0.03491925075650215
15,ppl_ratio_change_char_case,0.6328,-0.020821273485460833,0.02082127348545896,-0.4189583659172058
15,ppl_ratio_whitespace_perturbation,0.3388,-0.0010140825130705489,0.0010140825130713748,0.22014838457107544
15,ppl_ratio_underscore_trick,0.4148,-0.008869806314559374,0.008869806314555877,-0.01672336645424366
15,ref_ppl_ratio_tinystories-1M,0.3332,-0.047691191192048024,0.047691191192048364,0.06923697143793106
15,ref_ppl_ratio_tinystories-33M,0.3868,-0.06016465867685362,0.06016465867685342,-0.1858537793159485
15,ref_ppl_ratio_phi-1_5,0.4972,-0.07331658464191146,0.07331658464191189,0.05568332597613335
16,ppl,0.5548,-0.10746955625678009,0.10746955625677809,0.08777625858783722
16,zlib_ratio,0.5924,-0.05828845817348878,0.05828845817348885,-0.5782667398452759
16,k_min_probs_0.05,0.6816,-0.22157392486209304,0.22157392486209326,0.7027291059494019
16,k_max_probs_0.05,0.4932,-0.1942437970791628,0.19424379707916004,0.5609789490699768
16,k_min_probs_0.1,0.652,-0.21633847560487662,0.21633847560487665,-0.5377257466316223
16,k_max_probs_0.1,0.4724,-0.09863676928871953,0.09863676928871568,-0.9431911110877991
16,k_min_probs_0.2,0.6028,-0.22388519277038454,0.22388519277038482,0.8948529958724976
16,k_max_probs_0.2,0.47,-0.04038324525653548,0.040383245256538115,0.9625787138938904
16,ppl_ratio_synonym_substitution,0.5752,-0.16255189741578008,0.16255189741577336,0.775131106376648
16,ppl_ratio_butter_fingers,0.5996,-0.13745477268725179,0.1374547726872499,1.1803261041641235
16,ppl_ratio_random_deletion,0.5452,-0.11370820801519949,0.11370820801519953,0.6933035850524902
16,ppl_ratio_change_char_case,0.5756,-0.10024748568996607,0.10024748568996439,-0.9317131638526917
16,ppl_ratio_whitespace_perturbation,0.5996,-0.08765048230543136,0.08765048230543257,0.054170429706573486
16,ppl_ratio_underscore_trick,0.4132,-0.027686404539015858,0.02768640453901946,1.5428773164749146
16,ref_ppl_ratio_tinystories-1M,0.6116,-0.138599094083708,0.1385990940837078,1.0778766870498657
16,ref_ppl_ratio_tinystories-33M,0.6204,-0.08794533261537765,0.08794533261537803,-0.7242383360862732
16,ref_ppl_ratio_phi-1_5,0.4564,-0.09461569489624161,0.09461569489624189,0.14013637602329254
17,ppl,0.6,-0.09047816185639052,0.09047816185639017,0.15523213148117065
17,zlib_ratio,0.5908,-0.10616134334995518,0.10616134334995615,-0.3549998104572296
