seed,feature,sample_auc_heldout,member_mean_a,nonmember_mean_a,weight
11,ppl,0.0625,-0.4185139866807032,0.41851398668070294,0.899312436580658
11,zlib_ratio,0.125,-0.2401193447354783,0.24011934473547833,-2.4769346714019775
11,k_min_probs_0.05,0.8125,-0.4687984634277872,0.46879846342778736,-0.10809794813394547
11,k_max_probs_0.05,0.0625,-0.6051358926630008,0.6051358926629997,2.0482585430145264
11,k_min_probs_0.1,0.5,-0.24313547554333226,0.24313547554333234,-2.1212997436523438
11,k_max_probs_0.1,0.0625,-0.6095982565709157,0.609598256570916,2.142871379852295
11,k_min_probs_0.2,0.5,-0.1909700672101818,0.19097006721018184,-0.1224108338356018
11,k_max_probs_0.2,0.0625,-0.5197902152886332,0.5197902152886305,1.8830136060714722
11,ppl_ratio_synonym_substitution,0.3125,-0.3736001119977593,0.3736001119977578,0.42531612515449524
11,ppl_ratio_butter_fingers,0.125,-0.34696195938863605,0.3469619593886364,-0.692793607711792
11,ppl_ratio_random_deletion,0.0625,-0.0655637099537647,0.06556370995376326,-1.7368513345718384
11,ppl_ratio_change_char_case,0.0625,-0.4729939765293458,0.472993976529347,2.2997281551361084
11,ppl_ratio_whitespace_perturbation,0.25,-0.4386471576026198,0.4386471576026194,2.554967164993286
11,ppl_ratio_underscore_trick,0.125,-0.25309044834210986,0.25309044834210986,-2.063464879989624
12,ppl,0.625,-0.16512499402105313,0.1651249940210531,2.121856212615967
12,zlib_ratio,0.875,-0.1058287787005571,0.10582877870055672,2.7011070251464844
12,k_min_probs_0.05,0.75,-0.5243931686836183,0.5243931686836183,2.645524501800537
12,k_max_probs_0.05,0.6875,-0.24855330564306422,0.24855330564306255,-1.6466400623321533
12,k_min_probs_0.1,0.5625,-0.22243371756784425,0.22243371756784458,2.7359073162078857
12,k_max_probs_0.1,0.75,-0.21466520680941706,0.2146652068094188,0.4508429765701294
12,k_min_probs_0.2,0.5625,-0.13792384602293967,0.13792384602293967,0.3843171298503876
12,k_max_probs_0.2,0.75,-0.20031111855506487,0.20031111855506534,2.0891995429992676
12,ppl_ratio_synonym_substitution,0.3125,-0.34826757870366365,0.3482675787036614,2.3333117961883545
12,ppl_ratio_butter_fingers,0.1875,-0.10430118603801308,0.10430118603801172,2.2989370822906494
12,ppl_ratio_random_deletion,0.75,-0.05430730197438209,0.05430730197438077,-2.094210147857666
12,ppl_ratio_change_char_case,0.625,-0.0046637193027632695,0.0046637193027641854,0.6391281485557556
12,ppl_ratio_whitespace_perturbation,0.5,-0.07913641630025067,0.07913641630025248,2.0371739864349365
12,ppl_ratio_underscore_trick,0.3125,-0.05030502526481112,0.0503050252648099,-2.57523512840271
