model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-1.4b,Non-Deduped,1.4,europarl,0,1.0841894845694927e-07
EleutherAI/pythia-1.4b,Non-Deduped,1.4,philpapers,0,2.231012046901942e-25
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,stackexchange,0,0.628084758548066
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,wikipedia,0,2.3202979938247524e-05
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,cc,0,0.11004706382213278
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,github,0,0.0718758540335061
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,openwebtext2,0,0.42092144416726546
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,freelaw,0,0.7493820553127326
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,math,0,0.14963683857770216
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,uspto,0,0.0012670227974094519
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,hackernews,0,5.063312135120565e-07
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,books3,0,1.6489213930259438e-08
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,gutenberg,0,0.0004672896501455965
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,arxiv,0,0.6610275826352247
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,bookcorpus2,0,5.473796181481082e-15
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,opensubtitles,0,0.011571671676833456
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,youtubesubtitles,0,1.2558941532811098e-14
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,ubuntu,0,2.0599404495466114e-66
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,europarl,0,2.732472397865731e-07
EleutherAI/pythia-6.9b-deduped,Deduped,6.9,philpapers,0,2.190681179697546e-18
EleutherAI/pythia-6.9b,Non-Deduped,6.9,stackexchange,0,0.36965822312647023
EleutherAI/pythia-6.9b,Non-Deduped,6.9,wikipedia,0,2.673606622563692e-13
EleutherAI/pythia-6.9b,Non-Deduped,6.9,cc,0,0.05526887615783618
EleutherAI/pythia-6.9b,Non-Deduped,6.9,github,0,0.04665258374978632
EleutherAI/pythia-6.9b,Non-Deduped,6.9,openwebtext2,0,0.3750238342084365
EleutherAI/pythia-6.9b,Non-Deduped,6.9,freelaw,0,0.02979895551476271
EleutherAI/pythia-6.9b,Non-Deduped,6.9,math,0,0.009556150587209333
EleutherAI/pythia-6.9b,Non-Deduped,6.9,uspto,0,0.02098771619574768
EleutherAI/pythia-6.9b,Non-Deduped,6.9,hackernews,0,1.4752247548204237e-07
EleutherAI/pythia-6.9b,Non-Deduped,6.9,books3,0,1.3622079654781254e-06
EleutherAI/pythia-6.9b,Non-Deduped,6.9,gutenberg,0,5.668213239500495e-05
EleutherAI/pythia-6.9b,Non-Deduped,6.9,arxiv,0,0.699334039900221
EleutherAI/pythia-6.9b,Non-Deduped,6.9,bookcorpus2,0,2.6022181415096305e-11
EleutherAI/pythia-6.9b,Non-Deduped,6.9,opensubtitles,0,0.03574507957873863
EleutherAI/pythia-6.9b,Non-Deduped,6.9,youtubesubtitles,0,5.994331615798847e-34
EleutherAI/pythia-6.9b,Non-Deduped,6.9,ubuntu,0,3.0426873472058426e-44
EleutherAI/pythia-6.9b,Non-Deduped,6.9,europarl,0,3.1129370326221246e-07
EleutherAI/pythia-6.9b,Non-Deduped,6.9,philpapers,0,3.387167197132542e-22
EleutherAI/pythia-12b-deduped,Deduped,12.0,stackexchange,0,0.43398056794124523
EleutherAI/pythia-12b-deduped,Deduped,12.0,wikipedia,0,0.00013662157531756149
EleutherAI/pythia-12b-deduped,Deduped,12.0,cc,0,0.04867097253454625
EleutherAI/pythia-12b-deduped,Deduped,12.0,github,0,0.07474137840493739
EleutherAI/pythia-12b-deduped,Deduped,12.0,openwebtext2,0,0.6992483582652662
EleutherAI/pythia-12b-deduped,Deduped,12.0,freelaw,0,0.05202285478603745
EleutherAI/pythia-12b-deduped,Deduped,12.0,math,0,0.0001897155156112269
EleutherAI/pythia-12b-deduped,Deduped,12.0,uspto,0,9.215516120397484e-05
EleutherAI/pythia-12b-deduped,Deduped,12.0,hackernews,0,2.811747908534072e-07
EleutherAI/pythia-12b-deduped,Deduped,12.0,books3,0,2.3291198259820237e-05
EleutherAI/pythia-12b-deduped,Deduped,12.0,gutenberg,0,0.0007062793768500107
EleutherAI/pythia-12b-deduped,Deduped,12.0,arxiv,0,0.8371482865717679
EleutherAI/pythia-12b-deduped,Deduped,12.0,bookcorpus2,0,2.0719375131836615e-13
EleutherAI/pythia-12b-deduped,Deduped,12.0,opensubtitles,0,0.0002629947788369696
EleutherAI/pythia-12b-deduped,Deduped,12.0,youtubesubtitles,0,6.499476835994953e-27
EleutherAI/pythia-12b-deduped,Deduped,12.0,ubuntu,0,1.8799217730318799e-66
EleutherAI/pythia-12b-deduped,Deduped,12.0,europarl,0,1.43383015093669e-06
EleutherAI/pythia-12b-deduped,Deduped,12.0,philpapers,0,1.8555419299398258e-22
EleutherAI/pythia-12b,Non-Deduped,12.0,stackexchange,0,0.0008451494627475119
EleutherAI/pythia-12b,Non-Deduped,12.0,wikipedia,0,6.136789112008981e-10
EleutherAI/pythia-12b,Non-Deduped,12.0,cc,0,0.11900882373466365
EleutherAI/pythia-12b,Non-Deduped,12.0,github,0,0.1384131804500997
EleutherAI/pythia-12b,Non-Deduped,12.0,openwebtext2,0,0.4459075951973316
EleutherAI/pythia-12b,Non-Deduped,12.0,freelaw,0,0.03183278776140042
EleutherAI/pythia-12b,Non-Deduped,12.0,math,0,0.0012187524823483954
EleutherAI/pythia-12b,Non-Deduped,12.0,uspto,0,0.011208770131748728
EleutherAI/pythia-12b,Non-Deduped,12.0,hackernews,0,2.9270828580630487e-06
EleutherAI/pythia-12b,Non-Deduped,12.0,books3,0,8.44612220677553e-06
EleutherAI/pythia-12b,Non-Deduped,12.0,gutenberg,0,1.2135687330244874e-07
EleutherAI/pythia-12b,Non-Deduped,12.0,arxiv,0,0.3121153875080819
EleutherAI/pythia-12b,Non-Deduped,12.0,bookcorpus2,0,4.829935250786676e-09
EleutherAI/pythia-12b,Non-Deduped,12.0,opensubtitles,0,0.00977776901865339
EleutherAI/pythia-12b,Non-Deduped,12.0,youtubesubtitles,0,2.711858930922857e-24
EleutherAI/pythia-12b,Non-Deduped,12.0,ubuntu,0,2.884111512519271e-70
EleutherAI/pythia-12b,Non-Deduped,12.0,europarl,0,8.320327220339082e-05
EleutherAI/pythia-12b,Non-Deduped,12.0,philpapers,0,8.826343859827484e-18
