seed,heldout_member_count,heldout_nonmember_count,member_mean_score,nonmember_mean_score,mean_gap_nonmember_minus_member,t_statistic,p_value
11,30,30,-1.548178791999817,0.034473858773708344,1.5826526880264282,-2.7668918979477044,0.0038977422173877346
12,30,30,-0.34251901507377625,0.8926507830619812,1.235169768333435,-3.0363180104295164,0.0018406326658286635
13,30,30,0.24388225376605988,0.34679996967315674,0.10291771590709686,-0.20973031355080873,0.41731034080688384
14,30,30,-0.7928135395050049,0.4831295311450958,1.2759430408477783,-2.5412634787862753,0.007254129697726413
15,30,30,-0.7716735601425171,0.16330474615097046,0.9349783062934875,-1.9753386014500363,0.02663370762933178
16,30,30,-0.7175796627998352,0.3361101448535919,1.0536898374557495,-2.299348255811645,0.013068004472747122
17,30,30,-1.613043189048767,0.6062014102935791,2.2192444801330566,-4.0115444628329415,0.00012640346443396492
18,30,30,-0.474317729473114,0.46954455971717834,0.9438623189926147,-1.8114737290874363,0.0376357987865037
19,30,30,-1.4964503049850464,-0.6690294146537781,0.8274208903312683,-1.4495982619974848,0.07670974102406329
20,30,30,-0.6955848932266235,-0.007358773611485958,0.6882261037826538,-1.5190356354133028,0.06709380946007541
