model_name,model_label,model_size_b,dataset,random_index,p_value
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,stackexchange,0,0.3826394056006382
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,wikipedia,0,0.0011824017306906087
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,cc,0,0.4013134600800844
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,github,0,0.0409186115710822
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,openwebtext2,0,0.10886848350174247
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,freelaw,0,0.961209932519083
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,math,0,0.2755437398656968
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,uspto,0,2.3462837100346966e-05
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,hackernews,0,1.9289200001096145e-06
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,books3,0,9.149303368244386e-06
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,gutenberg,0,0.019098104203728917
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,arxiv,0,0.7792530532195698
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,bookcorpus2,0,1.051387294637403e-15
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,opensubtitles,0,0.013155050759180706
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,youtubesubtitles,0,3.021679044744226e-10
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,ubuntu,0,2.1643001019651955e-55
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,europarl,0,1.7107290961418806e-11
EleutherAI/pythia-1.4b-deduped,Deduped,1.4,philpapers,0,1.1775391011954243e-26
